Match_Number,Type,Group,Venue,Date,Match_Refree,Umpire_1,Umpire_2,TV_Umpire,Reserve_Umpire,Team_1,Team_2,Toss,Inning_1,Inning_2,Winner,Win_By,Player_Of_The_Match
19,Group,A,New York,"June 09, 2024",David Boon,Richard Illingworth,Rod Tucker,Chris Gaffaney,Sharfuddoula,India,Pakistan,Pakistan,119,113/7,India,6 runs,Jasprit Bumrah
20,Group,B,North Sound,"June 09, 2024",Richie Richardson,Allahuddien Paleker,Chris Brown,Langton Rusere,Alex Wharf,Oman,Scotland,Oman,150/7,153/3,Scotland,7 wickets (with 41 balls remaining),Brandon McMullen
21,Group,D,New York,"June 10, 2024",Ranjan Madugalle,Richard Illingworth,Sam Nogajski,Michael Gough,Paul Reiffel,South Africa,Bangladesh,South Africa,113/6,109/7,South Africa,4 runs,Heinrich Klaasen
22,Group,A,New York,"June 11, 2024",Ranjan Madugalle,Adrian Holdstock,Kumar Dharmasena,Sam Nogajski,Paul Reiffel,Canada,Pakistan,Pakistan,106/7,107/3,Pakistan,7 wickets (with 15 balls remaining),Mohammad Amir
23,Group,D,Lauderhill,"June 11, 2024",Jeff Crowe,Chris Gaffaney,Richard Kettleborough,Rod Tucker,Sharfuddoula,Nepal,Sri Lanka,,,,,Match abandoned without a ball bowled,
24,Group,B,North Sound,"June 11, 2024",Javagal Srinath,Nitin Menon,Rashid Riaz,Langton Rusere,Allahuddien Paleker,Namibia,Australia,Australia,72,74/1,Australia,9 wickets (with 86 balls remaining),Adam Zampa
25,Group,A,New York,"June 12, 2024",Ranjan Madugalle,Paul Reiffel,Sam Nogajski,Kumar Dharmasena,Adrian Holdstock,United States of America,India,India,110/8,111/3,India,7 wickets (with 10 balls remaining),Arshdeep Singh
26,Group,C,Tarouba,"June 12, 2024",David Boon,Ahsan Raza,Alex Wharf,Richard Illingworth,Michael Gough,West Indies,New Zealand,New Zealand,149/9,136/9,West Indies,13 runs,Sherfane Rutherford
27,Group,D,Kingstown,"June 13, 2024",Richie Richardson,Chris Brown,Jayaraman Madanagopal,Allahuddien Paleker,Joel Wilson,Bangladesh,Netherlands,Netherlands,159/5,134/8,Bangladesh,25 runs,Shakib Al Hasan
28,Group,B,North Sound,"June 13, 2024",Andy Pycroft,Asif Yaqoob,Langton Rusere,Nitin Menon,Rashid Riaz,Oman,England,England,47,50/2,England,8 wickets (with 101 balls remaining),Adil Rashid
29,Group,C,Tarouba,"June 13, 2024",David Boon,Alex Wharf,Michael Gough,Richard Illingworth,Ahsan Raza,Papua New Guinea,Afghanistan,Afghanistan,95,101/3,Afghanistan,7 wickets (with 29 balls remaining),Fazalhaq Farooqi
30,Group,A,Lauderhill,"June 14, 2024",Javagal Srinath,Rod Tucker,Sharfuddoula,Chris Gaffaney,Richard Kettleborough,United States of America,Ireland,,,,,Match abandoned without a ball bowled,
31,Group,D,Kingstown,"June 14, 2024",Richie Richardson,Jayaraman Madanagopal,Joel Wilson,Chris Brown,Sam Nogajski,South Africa,Nepal,Nepal,115/7,114/7,South Africa,1 run,Tabraiz Shamsi
32,Group,C,Tarouba,"June 14, 2024",David Boon,Paul Reiffel,Richard Illingworth,Kumar Dharmasena,Ahsan Raza,Uganda,New Zealand,New Zealand,40,41/1,New Zealand,9 wickets (with 88 balls remaining),Tim Southee
33,Group,A,Lauderhill,"June 15, 2024",Andy Pycroft,Richard Kettleborough,Sharfuddoula,Rod Tucker,Chris Gaffaney,Canada,India,,,,,Match abandoned without a ball bowled,
34,Group,B,North Sound,"June 15, 2024",Ranjan Madugalle,Adrian Holdstock,Langton Rusere,Rashid Riaz,Nitin Menon,England,Namibia,Namibia,122/5,84/3,England,41 runs (DLS method),Harry Brook
35,Group,B,Gros Islet,"June 15, 2024",Jeff Crowe,Asif Yaqoob,Michael Gough,Alex Wharf,Allahuddien Paleker,Scotland,Australia,Australia,180/5,186/5,Australia,5 wickets (with 2 balls remaining),Marcus Stoinis
36,Group,A,Lauderhill,"June 16, 2024",Javagal Srinath,Chris Gaffaney,Rod Tucker,Sharfuddoula,Richard Kettleborough,Ireland,Pakistan,Pakistan,106/9,111/7,Pakistan,3 wickets (with 7 balls remaining),Shaheen Shah Afridi
37,Group,D,Kingstown,"June 16, 2024",Richie Richardson,Ahsan Raza,Sam Nogajski,Jayaraman Madanagopal,Kumar Dharmasena,Bangladesh,Nepal,Nepal,106,85,Bangladesh,21 runs,Tanzim Hasan Sakib
38,Group,D,Gros Islet,"June 16, 2024",Jeff Crowe,Alex Wharf,Allahuddien Paleker,Michael Gough,Asif Yaqoob,Sri Lanka,Netherlands,Netherlands,201/6,118,Sri Lanka,83 runs,Charith Asalanka
39,Group,C,Tarouba,"June 17, 2024",David Boon,Langton Rusere,Paul Reiffel,Joel Wilson,Richard Illingworth,Papua New Guinea,New Zealand,New Zealand,78,79/3,New Zealand,7 wickets (with 46 balls remaining),Lockie Ferguson
40,Group,C,Gros Islet,"June 17, 2024",Jeff Crowe,Allahuddien Paleker,Chris Brown,Alex Wharf,Michael Gough,West Indies,Afghanistan,Afghanistan,218/5,114,West Indies,104 runs,Nicholas Pooran
41,Super Eight,2,North Sound,"June 19, 2024",Ranjan Madugalle,Chris Gaffaney,Richard Kettleborough,Joel Wilson,Langton Rusere,South Africa,United States of America,United States of America,194/4,176/6,South Africa,18 runs,Quinton de Kock
42,Super Eight,2,Gros Islet,"June 19, 2024",Jeff Crowe,Ahsan Raza,Nitin Menon,Sharfuddoula,Chris Brown,West Indies,England,England,180/4,181/2,England,8 wickets (with 15 balls remaining),Phil Salt
43,Super Eight,1,Bridgetown,"June 20, 2024",David Boon,Paul Reiffel,Rod Tucker,Allahuddien Paleker,Alex Wharf,India,Afghanistan,India,181/8,134,India,47 runs,Suryakumar Yadav
44,Super Eight,1,North Sound,"June 20, 2024",Richie Richardson,Michael Gough,Richard Illingworth,Kumar Dharmasena,Adrian Holdstock,Bangladesh,Australia,Australia,140/8,100/2,Australia,28 runs (DLS method),Pat Cummins
45,Super Eight,2,Gros Islet,"June 21, 2024",Jeff Crowe,Chris Brown,Sharfuddoula,Joel Wilson,Chris Gaffaney,South Africa,England,England,163/6,156/6,South Africa,7 runs,Quinton de Kock
46,Super Eight,2,Bridgetown,"June 21, 2024",David Boon,Allahuddien Paleker,Paul Reiffel,Rod Tucker,Alex Wharf,United States of America,West Indies,West Indies,128,130/1,West Indies,9 wickets (with 55 balls remaining),Roston Chase
47,Super Eight,1,North Sound,"June 22, 2024",Ranjan Madugalle,Adrian Holdstock,Michael Gough,Langton Rusere,Richard Kettleborough,India,Bangladesh,Bangladesh,196/5,146/8,India,50 runs,Hardik Pandya
48,Super Eight,1,Kingstown,"June 22, 2024",Jeff Crowe,Ahsan Raza,Kumar Dharmasena,Richard Illingworth,Nitin Menon,Afghanistan,Australia,Australia,148/6,127,Afghanistan,21 runs,Gulbadin Naib
49,Super Eight,2,Bridgetown,"June 23, 2024",David Boon,Chris Gaffaney,Joel Wilson,Paul Reiffel,Allahuddien Paleker,United States of America,England,England,115,117/0,England,10 wickets (with 62 balls remaining),Adil Rashid
50,Super Eight,2,North Sound,"June 23, 2024",Ranjan Madugalle,Alex Wharf,Rod Tucker,Chris Brown,Sharfuddoula,West Indies,South Africa,South Africa,135/8,124/7,South Africa,3 wickets (with 5 balls remaining) (DLS method),Tabraiz Shamsi
51,Super Eight,1,Gros Islet,"June 24, 2024",Jeff Crowe,Richard Illingworth,Richard Kettleborough,Michael Gough,Kumar Dharmasena,India,Australia,Australia,205/5,181/7,India,24 runs,Rohit Sharma
52,Super Eight,1,Kingstown,"June 24, 2024",Richie Richardson,Langton Rusere,Nitin Menon,Adrian Holdstock,Ahsan Raza,Afghanistan,Bangladesh,Afghanistan,115/5,105,Afghanistan,8 runs (DLS method),Naveen-ul-Haq
53,Semi Final,,Tarouba,"June 26, 2024",Richie Richardson,Nitin Menon,Richard Illingworth,Richard Kettleborough,Ahsan Raza,Afghanistan,South Africa,Afghanistan,56,60/1,South Africa,9 wickets (with 67 balls remaining),Marco Jansen
54,Semi Final,,Providence,"June 27, 2024",Jeff Crowe,Chris Gaffaney,Rod Tucker,Joel Wilson,Paul Reiffel,India,England,England,171/7,103,India,68 runs,Axar Patel
55,Final,,Bridgetown,"June 29, 2024",Richie Richardson,Chris Gaffaney,Richard Illingworth,Richard Kettleborough,Rod Tucker,India,South Africa,India,176/7,169/8,India,7 runs,Virat Kohli
